model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,optimizer,Clicks,MAP@10,NDCG,Precision@10,R-Precision,Recall@10
CNCF,100,1,128,128,0.001,10,0.0005,10,5,Adam,3.5336,0.0462,0.0681,0.0407,0.0411,0.0905
CNCF,100,1,128,128,0.001,10,0.0005,20,5,Adam,3.3353,0.0572,0.0851,0.0472,0.0536,0.1101
CNCF,100,1,128,128,0.001,10,0.0005,30,5,Adam,3.2344,0.0596,0.0903,0.0492,0.0551,0.1178
CNCF,100,1,128,128,0.001,10,0.0005,40,5,Adam,3.2369,0.0596,0.0925,0.0497,0.0569,0.1211
CNCF,100,1,128,128,0.001,10,0.0005,50,5,Adam,3.1964,0.0619,0.0949,0.0504,0.0578,0.1229
CNCF,100,1,128,128,0.001,10,0.0005,60,5,Adam,3.1964,0.0583,0.0905,0.05,0.0529,0.1212
CNCF,100,1,128,128,0.001,10,0.0005,70,5,Adam,3.2361,0.057,0.0881,0.0491,0.0527,0.1199
CNCF,100,1,128,128,0.001,10,0.0005,80,5,Adam,3.1575,0.0633,0.0968,0.0518,0.0601,0.1258
CNCF,100,1,128,128,0.001,10,0.0005,90,5,Adam,3.1832,0.0626,0.0953,0.0511,0.0585,0.1234
CNCF,100,1,128,128,0.001,10,0.0005,100,5,Adam,3.1733,0.0623,0.0953,0.0512,0.0595,0.1246
CNCF,100,1,128,128,0.001,10,0.0005,110,5,Adam,3.1749,0.0623,0.0957,0.051,0.0595,0.1242
CNCF,100,1,128,128,0.001,10,0.0005,120,5,Adam,3.1939,0.0616,0.0947,0.0506,0.0592,0.1234
CNCF,100,1,128,128,0.001,10,0.0005,130,5,Adam,3.1914,0.0616,0.0946,0.051,0.0578,0.1241
CNCF,100,1,128,128,0.001,10,0.0005,140,5,Adam,3.1675,0.0622,0.0957,0.0518,0.0585,0.1259
CNCF,100,1,128,128,0.001,10,0.0005,150,5,Adam,3.1476,0.063,0.0968,0.0518,0.0604,0.1266
CNCF,100,1,128,128,0.001,10,0.0005,160,5,Adam,3.1468,0.0648,0.0986,0.0527,0.0604,0.1275
CNCF,100,1,128,128,0.001,10,0.0005,170,5,Adam,3.1526,0.064,0.0976,0.0525,0.0601,0.1276
CNCF,100,1,128,128,0.001,10,0.0005,180,5,Adam,3.1799,0.0628,0.0959,0.0516,0.0597,0.1246
CNCF,100,1,128,128,0.001,10,0.0005,190,5,Adam,3.1666,0.0637,0.0974,0.0522,0.0597,0.1268
CNCF,100,1,128,128,0.001,10,0.0005,200,5,Adam,3.1361,0.0635,0.0972,0.0527,0.0604,0.1273
CNCF,100,1,128,128,0.001,10,0.0005,210,5,Adam,3.1774,0.0616,0.0946,0.0506,0.059,0.1233
CNCF,100,1,128,128,0.001,10,0.0005,220,5,Adam,3.1699,0.064,0.0976,0.052,0.0607,0.1261
CNCF,100,1,128,128,0.001,10,0.0005,230,5,Adam,3.1303,0.0638,0.0968,0.0525,0.0602,0.1267
CNCF,100,1,128,128,0.001,10,0.0005,240,5,Adam,3.1294,0.0656,0.0999,0.053,0.0616,0.1287
CNCF,100,1,128,128,0.001,10,0.0005,250,5,Adam,3.1468,0.0639,0.0979,0.0527,0.0602,0.1273
