model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,optimizer,Clicks,MAP@10,NDCG,Precision@10,R-Precision,Recall@10
CNCF,100,1,128,128,0.001,10,0.0005,10,5,Adam,3.4948,0.0475,0.0704,0.0415,0.0421,0.0945
CNCF,100,1,128,128,0.001,10,0.0005,20,5,Adam,3.3634,0.0517,0.0793,0.0453,0.0485,0.1064
CNCF,100,1,128,128,0.001,10,0.0005,30,5,Adam,3.2749,0.0583,0.0895,0.0483,0.0561,0.1167
CNCF,100,1,128,128,0.001,10,0.0005,40,5,Adam,3.2724,0.0598,0.091,0.0488,0.0572,0.1176
CNCF,100,1,128,128,0.001,10,0.0005,50,5,Adam,3.1898,0.0616,0.094,0.0503,0.0598,0.1215
CNCF,100,1,128,128,0.001,10,0.0005,60,5,Adam,3.2154,0.062,0.0949,0.0498,0.0592,0.1215
CNCF,100,1,128,128,0.001,10,0.0005,70,5,Adam,3.2551,0.0621,0.0927,0.049,0.0591,0.1167
CNCF,100,1,128,128,0.001,10,0.0005,80,5,Adam,3.2402,0.0599,0.0911,0.05,0.0562,0.1187
CNCF,100,1,128,128,0.001,10,0.0005,90,5,Adam,3.2865,0.0579,0.0881,0.0483,0.0555,0.1153
CNCF,100,1,128,128,0.001,10,0.0005,100,5,Adam,3.2724,0.0576,0.0881,0.0486,0.0544,0.1165
CNCF,100,1,128,128,0.001,10,0.0005,110,5,Adam,3.2154,0.0601,0.0917,0.0496,0.0574,0.1201
CNCF,100,1,128,128,0.001,10,0.0005,120,5,Adam,3.2493,0.0575,0.0882,0.0485,0.054,0.1162
CNCF,100,1,128,128,0.001,10,0.0005,130,5,Adam,3.2419,0.0603,0.0905,0.0487,0.0563,0.117
CNCF,100,1,128,128,0.001,10,0.0005,140,5,Adam,3.2609,0.0617,0.0927,0.0491,0.059,0.1187
CNCF,100,1,128,128,0.001,10,0.0005,150,5,Adam,3.2047,0.0622,0.0942,0.0503,0.0594,0.1217
CNCF,100,1,128,128,0.001,10,0.0005,160,5,Adam,3.2262,0.0618,0.0931,0.0496,0.0586,0.1194
CNCF,100,1,128,128,0.001,10,0.0005,170,5,Adam,3.1881,0.0643,0.0968,0.051,0.0596,0.1231
CNCF,100,1,128,128,0.001,10,0.0005,180,5,Adam,3.2443,0.0606,0.0916,0.0495,0.0572,0.1181
CNCF,100,1,128,128,0.001,10,0.0005,190,5,Adam,3.2311,0.0623,0.094,0.0503,0.058,0.1213
CNCF,100,1,128,128,0.001,10,0.0005,200,5,Adam,3.2328,0.0616,0.0947,0.0502,0.0585,0.1223
CNCF,100,1,128,128,0.001,10,0.0005,210,5,Adam,3.2559,0.0616,0.0923,0.0493,0.0569,0.119
CNCF,100,1,128,128,0.001,10,0.0005,220,5,Adam,3.2212,0.0629,0.0946,0.0507,0.0585,0.1217
CNCF,100,1,128,128,0.001,10,0.0005,230,5,Adam,3.2096,0.0628,0.0953,0.0504,0.0587,0.123
CNCF,100,1,128,128,0.001,10,0.0005,240,5,Adam,3.2038,0.0618,0.0939,0.0513,0.0564,0.1242
CNCF,100,1,128,128,0.001,10,0.0005,250,5,Adam,3.2038,0.0625,0.0949,0.0505,0.0596,0.1225
CNCF,100,1,128,128,0.001,10,0.0005,260,5,Adam,3.2319,0.0633,0.0959,0.0506,0.059,0.1224
CNCF,100,1,128,128,0.001,10,0.0005,270,5,Adam,3.222,0.062,0.0938,0.0506,0.0586,0.1213
CNCF,100,1,128,128,0.001,10,0.0005,280,5,Adam,3.2245,0.0625,0.094,0.051,0.0574,0.1228
CNCF,100,1,128,128,0.001,10,0.0005,290,5,Adam,3.2617,0.0595,0.0909,0.0492,0.0553,0.1188
CNCF,100,1,128,128,0.001,10,0.0005,300,5,Adam,3.1956,0.0632,0.0953,0.0517,0.0593,0.1241
VNCF,200,1,128,128,5e-05,10,0.0001,10,5,Adam,3.6436,0.0454,0.0632,0.039,0.0388,0.0823
VNCF,200,1,128,128,5e-05,10,0.0001,20,5,Adam,3.3816,0.0563,0.0829,0.0465,0.0501,0.108
VNCF,200,1,128,128,5e-05,10,0.0001,30,5,Adam,3.3138,0.0574,0.087,0.0475,0.0534,0.1147
VNCF,200,1,128,128,5e-05,10,0.0001,40,5,Adam,3.2204,0.0624,0.0946,0.0499,0.0594,0.1217
VNCF,200,1,128,128,5e-05,10,0.0001,50,5,Adam,3.2187,0.0607,0.0924,0.0496,0.0565,0.1217
VNCF,200,1,128,128,5e-05,10,0.0001,60,5,Adam,3.1823,0.0634,0.0971,0.0509,0.061,0.1254
VNCF,200,1,128,128,5e-05,10,0.0001,70,5,Adam,3.2022,0.0593,0.0913,0.0501,0.0541,0.1229
VNCF,200,1,128,128,5e-05,10,0.0001,80,5,Adam,3.1418,0.0647,0.0991,0.0521,0.0604,0.1289
VNCF,200,1,128,128,5e-05,10,0.0001,90,5,Adam,3.1468,0.0648,0.0995,0.0521,0.062,0.1295
VNCF,200,1,128,128,5e-05,10,0.0001,100,5,Adam,3.146,0.0644,0.0992,0.052,0.062,0.1295
VNCF,200,1,128,128,5e-05,10,0.0001,110,5,Adam,3.1352,0.0633,0.098,0.0519,0.0607,0.1286
VNCF,200,1,128,128,5e-05,10,0.0001,120,5,Adam,3.1204,0.064,0.0992,0.052,0.0612,0.13
VNCF,200,1,128,128,5e-05,10,0.0001,130,5,Adam,3.1551,0.0626,0.0972,0.052,0.0594,0.1287
VNCF,200,1,128,128,5e-05,10,0.0001,140,5,Adam,3.1228,0.0641,0.0993,0.052,0.0616,0.1307
VNCF,200,1,128,128,5e-05,10,0.0001,150,5,Adam,3.1336,0.065,0.0999,0.0522,0.0627,0.131
VNCF,200,1,128,128,5e-05,10,0.0001,160,5,Adam,3.1121,0.065,0.1006,0.0527,0.0628,0.1324
VNCF,200,1,128,128,5e-05,10,0.0001,170,5,Adam,3.1063,0.0655,0.1016,0.0532,0.0614,0.1328
VNCF,200,1,128,128,5e-05,10,0.0001,180,5,Adam,3.0914,0.0655,0.1018,0.0536,0.0608,0.1346
VNCF,200,1,128,128,5e-05,10,0.0001,190,5,Adam,3.1319,0.0636,0.0991,0.0526,0.0592,0.1321
VNCF,200,1,128,128,5e-05,10,0.0001,200,5,Adam,3.1228,0.0652,0.1012,0.0531,0.0628,0.1331
VNCF,200,1,128,128,5e-05,10,0.0001,210,5,Adam,3.1179,0.0647,0.1007,0.0531,0.061,0.1324
VNCF,200,1,128,128,5e-05,10,0.0001,220,5,Adam,3.1096,0.0661,0.1021,0.0534,0.0625,0.1339
VNCF,200,1,128,128,5e-05,10,0.0001,230,5,Adam,3.1179,0.0663,0.1019,0.0534,0.0628,0.133
VNCF,200,1,128,128,5e-05,10,0.0001,240,5,Adam,3.122,0.0653,0.1012,0.0529,0.0628,0.1322
VNCF,200,1,128,128,5e-05,10,0.0001,250,5,Adam,3.0947,0.0663,0.1031,0.0543,0.0639,0.1351
VNCF,200,1,128,128,5e-05,10,0.0001,260,5,Adam,3.1369,0.0635,0.0994,0.0528,0.0609,0.1319
VNCF,200,1,128,128,5e-05,10,0.0001,270,5,Adam,3.1303,0.0651,0.1006,0.0527,0.0621,0.1314
VNCF,200,1,128,128,5e-05,10,0.0001,280,5,Adam,3.1129,0.0652,0.1014,0.0533,0.0625,0.1331
VNCF,200,1,128,128,5e-05,10,0.0001,290,5,Adam,3.1121,0.0667,0.1028,0.0532,0.0643,0.1336
VNCF,200,1,128,128,5e-05,10,0.0001,300,5,Adam,3.1237,0.0664,0.1024,0.0535,0.0648,0.1328
NCF,100,1,128,128,0.0001,10,0.0005,10,5,Adam,3.2807,0.0596,0.0907,0.0482,0.0569,0.1172
NCF,100,1,128,128,0.0001,10,0.0005,20,5,Adam,3.241,0.0596,0.0915,0.0489,0.0573,0.1193
NCF,100,1,128,128,0.0001,10,0.0005,30,5,Adam,3.2625,0.0587,0.0894,0.0477,0.0556,0.1163
